Periodo de Cobertura,Total_RC_Tasa_Dependencia,Total_RC_Tasa_Dep_Directa,ARS_AutoGest_Tasa_Dep_Directa,ARS_AutoGest_Tasa_Dependencia,ARS_Priv_Tasa_Dep_Directa,ARS_Priv_Tasa_Dependencia,ARS_Pub_Tasa_Dep_Directa,ARS_Pub_Tasa_Dependencia,Year,Month
2012-07-01,1.1718376453882222,1.079914216232717,1.354938105489774,1.2318622174381055,1.188098657991348,1.1016237229535546,1.0693353125390508,0.9691001556352455,2012,7
2012-08-01,1.1570984640843556,1.0682638268827387,1.348902232814518,1.227968098845647,1.1724083240339478,1.0885016236841085,1.0541891052195527,0.9582975795952183,2012,8
2012-09-01,1.1607326206805453,1.0704759635683208,1.355147088441037,1.2325219189301682,1.1753126212365907,1.0901537843860805,1.0602662698034502,0.9622772226417308,2012,9
2012-10-01,1.1635492387108322,1.073180573804168,1.3563400713113976,1.2333889182630386,1.1808421455149796,1.0947201578443029,1.0548702554374851,0.9595277997753181,2012,10
2012-11-01,1.1616434460039802,1.0709951931895034,1.3514474559248653,1.2285256714756858,1.1804879801565067,1.0938725691103104,1.0490948132377849,0.954007221008966,2012,11
2012-12-01,1.163136551258016,1.0721321500124716,1.3455771195097037,1.2259312223357166,1.1809534605369758,1.093831301253477,1.053978663738742,0.9578171135213733,2012,12
2013-01-01,1.1689664790058492,1.077132787762709,1.3422424854623385,1.2227333533539,1.188590831011864,1.1006089963242165,1.0559603907280328,0.9587813219482755,2013,1
2013-02-01,1.1683990652013267,1.0759680042016302,1.3419115635090024,1.221843703825316,1.1873591277509659,1.0988404293857723,1.0567286361972767,0.9585720367783811,2013,2
2013-03-01,1.1700084493298055,1.076310538654692,1.3409056819886278,1.2158664794033025,1.1898578483533873,1.1006837466917683,1.0565825958211954,0.9560667988465642,2013,3
2013-04-01,1.1726970277240591,1.0780378582915224,1.3413361026467896,1.2160611070877116,1.1919087982284673,1.1017935899288627,1.0620369619543983,0.9602220371093894,2013,4
2013-05-01,1.175857999464704,1.080169166018416,1.3416757791142702,1.2148305084745763,1.1954556040788158,1.10433156853675,1.0644931970670253,0.9615715819521651,2013,5
2013-06-01,1.1811540669514509,1.0844641965181143,1.342314069973003,1.214427649340149,1.2015091051112965,1.1093750498164099,1.068070162603113,0.9640261189252465,2013,6
2013-07-01,1.1773579296254115,1.07972555629278,1.337935866787569,1.2098617866073147,1.1958138710242538,1.1027789327935598,1.0698116754580942,0.9642887421807901,2013,7
2013-08-01,1.185082615939483,1.0869944958586315,1.3457723778824697,1.219109017274155,1.2041551935738135,1.110502348978555,1.0749087399669217,0.9688334555045178,2013,8
2013-09-01,1.188092907059181,1.0891451396582892,1.3489247460629377,1.2228142038692535,1.2060133039355134,1.1112729679138542,1.0812576622356875,0.9746030452641364,2013,9
2013-10-01,1.194554991232378,1.0944170493681,1.361443755784278,1.23374092043638,1.2127603051621916,1.1168621592423242,1.0849007655813154,0.9769093807040661,2013,10
2013-11-01,1.199217964268952,1.0987541067542774,1.3548296962753918,1.2279890469138561,1.218084783608132,1.1217006912567997,1.08945783244666,0.9812551422710503,2013,11
2013-12-01,1.1997438539740168,1.099067394916055,1.3506065640137925,1.2239331034579035,1.2175600820438757,1.1211799467795942,1.0937250417143178,0.9842366748532968,2013,12
2014-01-01,1.1965126311168965,1.0975570254438676,1.3476502365158003,1.2217650516416156,1.2146278894286089,1.1195388897972613,1.0885381514899009,0.9824824013362542,2014,1
2014-02-01,1.1985014479804246,1.0993115762085213,1.3458225001756727,1.222092614714356,1.2163247451463406,1.1202534324862066,1.0899978427021697,0.9856154462524654,2014,2
2014-03-01,1.2003540542283313,1.099141182310185,1.33237456056248,1.2065113176872733,1.2189486752980878,1.121814197861604,1.0928253574694569,0.9827894287758608,2014,3
2014-04-01,1.2027538373873714,1.100537768439047,1.3307512483919606,1.2015271188081833,1.2221376426043704,1.1239763419040312,1.0940536954243536,0.9837564178924433,2014,4
2014-05-01,1.2030545519582425,1.100800507821462,1.3295844531734546,1.1980290813865344,1.2216511316166843,1.1236458787954362,1.0964601369491116,0.985777201291062,2014,5
2014-06-01,1.2050381462765087,1.1020362871685168,1.3215848189872033,1.1884911954500712,1.2243817704476088,1.1256813294723456,1.0974795866100213,0.9859893338154208,2014,6
2014-07-01,1.2076280795194874,1.104701482123233,1.3105011640730302,1.1796212337812633,1.2284563598060756,1.1291380617394429,1.097219594517894,0.9878877545614845,2014,7
2014-08-01,1.206724972770115,1.1036497032571615,1.3124864483954901,1.1756965524718126,1.2263329365327986,1.127226781947664,1.0988066753375778,0.9893105108885661,2014,8
2014-09-01,1.212958405517285,1.1084724498616438,1.3178861678679126,1.1727495233330179,1.2324031539122828,1.1323531639481468,1.1047618683469962,0.9938555304049921,2014,9
2014-10-01,1.2147727678412052,1.1097390310949269,1.3030028026157747,1.1561724275990926,1.2343144274007303,1.1339519431149596,1.1098745493650928,0.9977994473742623,2014,10
2014-11-01,1.2068877461043037,1.1017529751197455,1.293954483614894,1.142215588635433,1.2242643319111002,1.124221609435194,1.1094428427191025,0.9967137970616124,2014,11
2014-12-01,1.2077511655068989,1.1022884272930302,1.28371437602065,1.1303666438392246,1.22608568574052,1.1258374318358748,1.1084827546273957,0.9951554689158673,2014,12
2015-01-01,1.2127241655218648,1.0997390623213987,1.4182002474791353,1.1257931179738303,1.222848069193999,1.122668242361933,1.1088284891985465,0.9944035736122849,2015,1
2015-02-01,1.2173199780048611,1.1017064491685458,1.458149837303817,1.1178469218404925,1.2243121003701354,1.1242294930833512,1.1137432855730638,0.9988407316095171,2015,2
2015-03-01,1.2281169513009695,1.1115163592095594,1.4446553549753365,1.1085199245887245,1.237291808921691,1.136101446081832,1.122272392657358,1.0057002712352818,2015,3
2015-04-01,1.2169095886736603,1.1015920566180137,1.3973380456442457,1.071499291900089,1.2292108509662276,1.128809573648417,1.1079976987261908,0.9928799515033573,2015,4
2015-05-01,1.2135088080320153,1.0985603348839224,1.3814785353849213,1.058925153496234,1.2295604027437357,1.1291037012219851,1.0927192414607212,0.978786032519706,2015,5
2015-06-01,1.211393623609877,1.096454344723591,1.3566804796116028,1.040923914376088,1.2321101554621885,1.13112610961214,1.0784900194020273,0.9654516319093922,2015,6
2015-07-01,1.2087063294761384,1.0934687415406255,1.3348045320983326,1.021983337162481,1.23307281243815,1.1314547093879885,1.067074280577544,0.9550200773376819,2015,7
2015-08-01,1.2102635594405173,1.0952149368411266,1.3147576412472985,1.008502149286342,1.236453305553779,1.13474281278502,1.0665874489417007,0.9548013367991088,2015,8
2015-09-01,1.2182461450503623,1.1018513847550824,1.2993827160493827,0.9953585901423051,1.246763307384438,1.1434453054817741,1.0730258767702232,0.9607955809297842,2015,9
