Periodo de Cobertura,Ingresos en Salud,Gasto en Salud,Porcentaje (%) de Siniestralidad,Year,Month
2019-03-01,692952886.95,580697769.6,83.80046905582778,2019,3
2019-04-01,701520986.68,555494864.86,79.18435448224017,2019,4
2019-05-01,703087589.71,622851743.6000001,88.58807248424134,2019,5
2019-06-01,692102266.4699999,603306753.18,87.17017446816165,2019,6
2019-07-01,708005871.5899999,649639707.67,91.75625990375977,2019,7
2019-08-01,720237462.8299998,596756857.8600001,82.85557037191424,2019,8
2019-09-01,725686636.61,463001755.28999996,63.80188526729441,2019,9
2019-10-01,736134733.0500001,731431854.0400002,99.36113882434069,2019,10
2019-11-01,733157640.42,638240828.49,87.05369668170879,2019,11
2019-12-01,752063365.1600001,617809408.0699999,82.14858437341408,2019,12
2020-01-01,755129884.69,628182096.6899999,83.18861555159938,2020,1
2020-02-01,764548784.2199999,698589792.27,91.37282102707259,2020,2
2020-03-01,761792553.0200001,504356977.73999995,66.20660385042628,2020,3
2020-04-01,758048673.05,220893232.28000003,29.139716238963747,2020,4
2020-05-01,747256767.5300001,462884579.38000005,61.94451485665758,2020,5
2020-06-01,756660293.8899999,533706684.09,70.53451706130996,2020,6
2020-07-01,765662169.67,646173810.5600001,84.39411481417459,2020,7
2020-08-01,779079615.45,648800924.4399999,83.27787193677882,2020,8
2020-09-01,785749141.3099998,646922954.4200001,82.33199635973526,2020,9
2020-10-01,796629472.49,760415035.06,95.45404247763948,2020,10
2020-11-01,800181467.2399999,717421496.37,89.65734970650382,2020,11
2020-12-01,832415129.17,866794309.9200001,104.1300523675344,2020,12
2021-01-01,821617556.0,575686254.02,70.06742368343454,2021,1
2021-02-01,850067241.26,813536917.01,95.70265474577594,2021,2
2021-03-01,873236964.61,895390000.75,102.53688712661102,2021,3
2021-04-01,903071670.36,682794142.66,75.60796834517146,2021,4
2021-05-01,884403139.01,818441698.36,92.54169984925232,2021,5
2021-06-01,892377207.71,798397097.8499999,89.46856676212406,2021,6
2021-07-01,897538233.12,872576448.75,97.21886116391627,2021,7
2021-08-01,900986068.62,791170307.56,87.81160276671093,2021,8
2021-09-01,918681425.05,826610161.5600001,89.97788994318799,2021,9
2021-10-01,932145210.27,817251494.8399999,87.6742685405506,2021,10
2021-11-01,935483498.4200001,887757477.0500001,94.89825085631038,2021,11
2021-12-01,951188132.1,737047464.75,77.48703330883369,2021,12
2022-01-01,993061112.0099999,888895530.5999999,89.51065748620806,2022,1
2022-02-01,1000942272.5500001,819571259.9499999,81.8799727442883,2022,2
2022-03-01,979552302.9200001,868339764.0100001,88.64659512529545,2022,3
2022-04-01,1029349418.5000001,797850293.4,77.51015146660811,2022,4
2022-05-01,1032844558.71,974494097.09,94.3505088807479,2022,5
2022-06-01,1012168066.44,925375314.04,91.42506513713006,2022,6
2022-07-01,1029041827.35,896059156.54,87.07703931214745,2022,7
2022-08-01,1035027302.29,903662412.26,87.30807489431875,2022,8
2022-09-01,1066878522.2,781564887.1600001,73.2571582328176,2022,9
2022-10-01,1092410678.1,1069793748.44,97.92963121714108,2022,10
2022-11-01,1118042637.9,859436888.04,76.86977749384096,2022,11
2022-12-01,1067146442.39,898481431.2,84.19476423383328,2022,12
2023-01-01,1101545039.0700002,921179625.4200001,83.62614262215942,2023,1
2023-02-01,1125041826.57,1023690711.23,90.99134690405273,2023,2
2023-03-01,1129118387.97,1091360731.72,96.65600554802025,2023,3
2023-04-01,1149269994.03,1022201499.67,88.94354720648148,2023,4
2023-05-01,1151859269.68,1059201058.5500001,91.95576980895058,2023,5
2023-06-01,1116097838.43,1040724674.02,93.24672427320291,2023,6
2023-07-01,1159613777.2699997,980704642.4,84.57166184320495,2023,7
2023-08-01,1192133581.23,1031382684.53,86.51569763397293,2023,8
2023-09-01,1267766456.1100001,785903595.1700001,61.99119651591489,2023,9
2023-10-01,1276000955.23,1360989876.43,106.6605687755681,2023,10
2023-11-01,1265375290.63,1077233380.59,85.13153280033397,2023,11
